Comment,Designator,Footprint,LCSC Part Number
10uF,"C1,C2",Capacitor_SMD:C_0805_2012Metric,C83061
27p,"C3,C4",Capacitor_SMD:C_0402_1005Metric,C147436
100nF,"C5,C6,C7,C9,C11,C12,C13,C14,C15,C16",Capacitor_SMD:C_0402_1005Metric,C115671
1uF,"C8,C10",Capacitor_SMD:C_0402_1005Metric,C5137485
10uF,C17,Capacitor_SMD:C_0805_2012Metric,C83061
USB_Micro-B,J2,Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,C428495
1k,"R1,R5",Capacitor_SMD:C_0402_1005Metric,C105637
27 ohm,"R3,R4",Capacitor_SMD:C_0402_1005Metric,C2909343
6mm_Button,"SW1,SW2,SW3,SW4,SW5,SW6",Button_Switch_THT:SW_PUSH_6mm,C782807
AMS1117,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C5250992
W25Q128JVS,U2,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C97521
RP2040,U3,RP2040_minimal:RP2040-QFN-56,C2040
12MHZ,Y1,RP2040_minimal:Crystal_SMD_HC49-US,C390753
